ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop
HTI,HAITI,0.8730409194940305,1.813417363815331,1946,0,0.2019592009155964,0.30303030303030304,0.5252525252525253
IND,INDIA,1.0231957388498907,1.4306951978372175,1946,0,0.27272727272727276,0.9719865976796929,1.0
IRN,IRAN (ISLAMIC REPUBLIC OF),-0.3692227365580467,-0.39212505501483175,1946,3,0.4040404040404041,0.7777777777777778,0.8989898989898991
IRQ,IRAQ,-0.4155017170559108,0.020765943244163858,1946,1,0.4444444444444445,0.686868686868687,0.7968312089165054
ISL,ICELAND,-0.4628924424962994,0.3199124015205549,1946,1,0.9494949494949496,0.39552433385644775,0.08080808080808081
LBN,LEBANON,-0.6765426883859132,-0.1354611851938302,1946,1,0.33917328207583936,0.33333333333333337,0.3434343434343435
LBR,LIBERIA,1.1894661272144729,-1.001214231063643,1946,2,0.071978973564154,0.13131313131313133,0.32323232323232326
LUX,LUXEMBOURG,-0.5386333808101831,-0.08693587396719674,1946,1,0.98989898989899,0.5712727519843749,0.12121212121212122
MEX,MEXICO,-0.4433492331501234,0.0014331998557617505,1946,1,0.6565656565656566,0.9292929292929294,0.9400934391278268
NIC,NICARAGUA,-0.7345965698276016,0.12212804066252608,1946,1,0.29292929292929293,0.27272727272727276,0.38383838383838387
NLD,NETHERLANDS,-0.6471889479939646,-0.13071767880789584,1946,1,0.9292929292929294,0.8989898989898991,0.5839886559839527
NOR,NORWAY,-0.4148433252264714,-0.35263456789065545,1946,3,0.9718702471753256,0.8181818181818182,0.33333333333333337
NZL,NEW ZEALAND,-0.5782383559510061,-0.5779013900197889,1946,3,0.8686868686868687,0.696969696969697,0.30763098542243916
PAN,PANAMA,-0.5698471660690694,0.1651402425880037,1946,1,0.70883871908059,0.5532582449119411,0.27272727272727276
PER,PERU,-0.6184254828488763,-0.45681875760126583,1946,3,0.5555555555555556,0.7070707070707072,0.7277082215597619
