Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Ecuador,ECU,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549
"Population, total",SP.POP.TOTL,Eritrea,ERI,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48901,49464,50182,50998,51795,52571,53315,53952,54482
"Population, total",SP.POP.TOTL,Fiji,FJI,918578,919166,918759,917180,914899,914963,916711,919422,924145
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911
"Population, total",SP.POP.TOTL,France,FRA,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277866,279178,280087,279815,279034,279209,279792,280378,281118
"Population, total",SP.POP.TOTL,Gabon,GAB,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83280000
"Population, total",SP.POP.TOTL,Ghana,GHA,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33193,33658,34245,34854,35494,36173,36858,37609,38471
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56186,56172,56023,56225,56367,56653,56661,56865
